ENSG00000005893,P13473,LAMP2_HUMAN,Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b),LAMP2,1
ENSG00000101773,Q99708,CTIP_HUMAN,DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2),RBBP8,132
ENSG00000101773,Q99708,CTIP_HUMAN,DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2),CTIP,133
ENSG00000102119,P50402,EMD_HUMAN,Emerin,EMD,134
ENSG00000102119,P50402,EMD_HUMAN,Emerin,EDMD,135
ENSG00000102119,P50402,EMD_HUMAN,Emerin,STA,136
ENSG00000102125,Q16635,TAZ_HUMAN,Tafazzin (Protein G4.5),TAZ,137
ENSG00000102125,Q16635,TAZ_HUMAN,Tafazzin (Protein G4.5),EFE2,138
ENSG00000102125,Q16635,TAZ_HUMAN,Tafazzin (Protein G4.5),G4.5,139
ENSG00000102265,P01033,TIMP1_HUMAN,Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1),TIMP1,140
ENSG00000102265,P01033,TIMP1_HUMAN,Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1),CLGI,141
ENSG00000102265,P01033,TIMP1_HUMAN,Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1),TIMP,142
ENSG00000102302,P98174,FGD1_HUMAN,"FYVE, RhoGEF and PH domain-containing protein 1 (Faciogenital dysplasia 1 protein) (Rho/Rac guanine nucleotide exchange factor FGD1) (Rho/Rac GEF) (Zinc finger FYVE domain-containing protein 3)",FGD1,143
ENSG00000102302,P98174,FGD1_HUMAN,"FYVE, RhoGEF and PH domain-containing protein 1 (Faciogenital dysplasia 1 protein) (Rho/Rac guanine nucleotide exchange factor FGD1) (Rho/Rac GEF) (Zinc finger FYVE domain-containing protein 3)",FGDY,144
ENSG00000102302,P98174,FGD1_HUMAN,"FYVE, RhoGEF and PH domain-containing protein 1 (Faciogenital dysplasia 1 protein) (Rho/Rac guanine nucleotide exchange factor FGD1) (Rho/Rac GEF) (Zinc finger FYVE domain-containing protein 3)",ZFYVE3,145
ENSG00000102393,P06280,AGAL_HUMAN,Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Melibiase) (Agalsidase),GLA,146
ENSG00000102683,Q13326,SGCG_HUMAN,Gamma-sarcoglycan (Gamma-SG) (35 kDa dystrophin-associated glycoprotein) (35DAG),SGCG,147
ENSG00000103197,P49815,TSC2_HUMAN,Tuberin (Tuberous sclerosis 2 protein),TSC2,148
ENSG00000103197,P49815,TSC2_HUMAN,Tuberin (Tuberous sclerosis 2 protein),TSC4,149
ENSG00000104067,Q07157,ZO1_HUMAN,Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1),TJP1,150
ENSG00000104067,Q07157,ZO1_HUMAN,Tight junction protein ZO-1 (Tight junction protein 1) (Zona occludens protein 1) (Zonula occludens protein 1),ZO1,151
ENSG00000104812,P13807,GYS1_HUMAN,"Glycogen [starch] synthase, muscle (EC 2.4.1.11)",GYS1,152
ENSG00000104812,P13807,GYS1_HUMAN,"Glycogen [starch] synthase, muscle (EC 2.4.1.11)",GYS,153
ENSG00000104967,Q9UNW9,NOVA2_HUMAN,RNA-binding protein Nova-2 (Astrocytic NOVA1-like RNA-binding protein) (Neuro-oncological ventral antigen 2),NOVA2,154
ENSG00000104967,Q9UNW9,NOVA2_HUMAN,RNA-binding protein Nova-2 (Astrocytic NOVA1-like RNA-binding protein) (Neuro-oncological ventral antigen 2),ANOVA,155
ENSG00000104967,Q9UNW9,NOVA2_HUMAN,RNA-binding protein Nova-2 (Astrocytic NOVA1-like RNA-binding protein) (Neuro-oncological ventral antigen 2),NOVA3,156
ENSG00000105221,P31751,AKT2_HUMAN,RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta),AKT2,157
ENSG00000105372,P39019,RS19_HUMAN,40S ribosomal protein S19 (Small ribosomal subunit protein eS19),RPS19,158
ENSG00000105550,Q9NSA1,FGF21_HUMAN,Fibroblast growth factor 21 (FGF-21),FGF21,159
ENSG00000105550,Q9NSA1,FGF21_HUMAN,Fibroblast growth factor 21 (FGF-21),UNQ3115/PRO10196,160
ENSG00000105697,P81172,HEPC_HUMAN,Hepcidin (Liver-expressed antimicrobial peptide 1) (LEAP-1) (Putative liver tumor regressor) (PLTR) [Cleaved into: Hepcidin-25 (Hepc25); Hepcidin-20 (Hepc20)],HAMP,161
ENSG00000105697,P81172,HEPC_HUMAN,Hepcidin (Liver-expressed antimicrobial peptide 1) (LEAP-1) (Putative liver tumor regressor) (PLTR) [Cleaved into: Hepcidin-25 (Hepc25); Hepcidin-20 (Hepc20)],HEPC,162
ENSG00000105697,P81172,HEPC_HUMAN,Hepcidin (Liver-expressed antimicrobial peptide 1) (LEAP-1) (Putative liver tumor regressor) (PLTR) [Cleaved into: Hepcidin-25 (Hepc25); Hepcidin-20 (Hepc20)],LEAP1,163
ENSG00000105697,P81172,HEPC_HUMAN,Hepcidin (Liver-expressed antimicrobial peptide 1) (LEAP-1) (Putative liver tumor regressor) (PLTR) [Cleaved into: Hepcidin-25 (Hepc25); Hepcidin-20 (Hepc20)],UNQ487/PRO1003,164
ENSG00000105974,Q03135,CAV1_HUMAN,Caveolin-1,CAV1,165
ENSG00000105974,Q03135,CAV1_HUMAN,Caveolin-1,CAV,166
ENSG00000105993,O75190,DNJB6_HUMAN,DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1),DNAJB6,167
ENSG00000105993,O75190,DNJB6_HUMAN,DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1),HSJ2,168
ENSG00000105993,O75190,DNJB6_HUMAN,DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1),MRJ,169
ENSG00000105993,O75190,DNJB6_HUMAN,DnaJ homolog subfamily B member 6 (HHDJ1) (Heat shock protein J2) (HSJ-2) (MRJ) (MSJ-1),MSJ1,170
ENSG00000106571,P10071,GLI3_HUMAN,Transcriptional activator GLI3 (GLI3 form of 190 kDa) (GLI3-190) (GLI3 full-length protein) (GLI3FL) [Cleaved into: Transcriptional repressor GLI3R (GLI3 C-terminally truncated form) (GLI3 form of 83 kDa) (GLI3-83)],GLI3,171
ENSG00000106617,Q9UGJ0,AAKG2_HUMAN,5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p),PRKAG2,172
ENSG00000106692,O75072,FKTN_HUMAN,Fukutin (EC 2.-.-.-) (Fukuyama-type congenital muscular dystrophy protein),FKTN,173
ENSG00000106692,O75072,FKTN_HUMAN,Fukutin (EC 2.-.-.-) (Fukuyama-type congenital muscular dystrophy protein),FCMD,174
ENSG00000106701,Q9BXM9,FSD1L_HUMAN,FSD1-like protein (Coiled-coil domain-containing protein 10) (FSD1 N-terminal-like protein),FSD1L,175
ENSG00000106701,Q9BXM9,FSD1L_HUMAN,FSD1-like protein (Coiled-coil domain-containing protein 10) (FSD1 N-terminal-like protein),CCDC10,176
ENSG00000106701,Q9BXM9,FSD1L_HUMAN,FSD1-like protein (Coiled-coil domain-containing protein 10) (FSD1 N-terminal-like protein),CSDUFD1,177
ENSG00000106701,Q9BXM9,FSD1L_HUMAN,FSD1-like protein (Coiled-coil domain-containing protein 10) (FSD1 N-terminal-like protein),FSD1CL,178
ENSG00000106701,Q9BXM9,FSD1L_HUMAN,FSD1-like protein (Coiled-coil domain-containing protein 10) (FSD1 N-terminal-like protein),FSD1NL,179
ENSG00000106991,P17813,EGLN_HUMAN,Endoglin (CD antigen CD105),ENG,180
ENSG00000106991,P17813,EGLN_HUMAN,Endoglin (CD antigen CD105),END,181
ENSG00000107521,Q92902,HPS1_HUMAN,Hermansky-Pudlak syndrome 1 protein,HPS1,182
ENSG00000107521,Q92902,HPS1_HUMAN,Hermansky-Pudlak syndrome 1 protein,HPS,183
ENSG00000107537,O14832,PAHX_HUMAN,"Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)",PHYH,184
ENSG00000107537,O14832,PAHX_HUMAN,"Phytanoyl-CoA dioxygenase, peroxisomal (EC 1.14.11.18) (Phytanic acid oxidase) (Phytanoyl-CoA alpha-hydroxylase) (PhyH)",PAHX,185
ENSG00000107562,P48061,SDF1_HUMAN,Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67)],CXCL12,186
ENSG00000107562,P48061,SDF1_HUMAN,Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67)],SDF1,187
ENSG00000107562,P48061,SDF1_HUMAN,Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67)],SDF1A,188
ENSG00000107562,P48061,SDF1_HUMAN,Stromal cell-derived factor 1 (SDF-1) (hSDF-1) (C-X-C motif chemokine 12) (Intercrine reduced in hepatomas) (IRH) (hIRH) (Pre-B cell growth-stimulating factor) (PBSF) [Cleaved into: SDF-1-beta(3-72); SDF-1-alpha(3-67)],SDF1B,189
ENSG00000107815,Q96RR1,PEO1_HUMAN,"Twinkle protein, mitochondrial (EC 3.6.4.12) (Progressive external ophthalmoplegia 1 protein) (T7 gp4-like protein with intramitochondrial nucleoid localization) (T7-like mitochondrial DNA helicase) (Twinkle mtDNA helicase)",TWNK,190
ENSG00000107815,Q96RR1,PEO1_HUMAN,"Twinkle protein, mitochondrial (EC 3.6.4.12) (Progressive external ophthalmoplegia 1 protein) (T7 gp4-like protein with intramitochondrial nucleoid localization) (T7-like mitochondrial DNA helicase) (Twinkle mtDNA helicase)",C10orf2,191
ENSG00000107815,Q96RR1,PEO1_HUMAN,"Twinkle protein, mitochondrial (EC 3.6.4.12) (Progressive external ophthalmoplegia 1 protein) (T7 gp4-like protein with intramitochondrial nucleoid localization) (T7-like mitochondrial DNA helicase) (Twinkle mtDNA helicase)",PEO1,192
ENSG00000108061,Q9UQ13,SHOC2_HUMAN,Leucine-rich repeat protein SHOC-2 (Protein soc-2 homolog) (Protein sur-8 homolog),SHOC2,193
ENSG00000108061,Q9UQ13,SHOC2_HUMAN,Leucine-rich repeat protein SHOC-2 (Protein soc-2 homolog) (Protein sur-8 homolog),KIAA0862,194
ENSG00000108395,O94972,TRI37_HUMAN,E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (Mulibrey nanism protein) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37),TRIM37,195
ENSG00000108395,O94972,TRI37_HUMAN,E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (Mulibrey nanism protein) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37),KIAA0898,196
ENSG00000108395,O94972,TRI37_HUMAN,E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (Mulibrey nanism protein) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37),MUL,197
ENSG00000108395,O94972,TRI37_HUMAN,E3 ubiquitin-protein ligase TRIM37 (EC 2.3.2.27) (Mulibrey nanism protein) (RING-type E3 ubiquitin transferase TRIM37) (Tripartite motif-containing protein 37),POB1,198
ENSG00000108691,P13500,CCL2_HUMAN,C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2),CCL2,199
ENSG00000108691,P13500,CCL2_HUMAN,C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2),MCP1,200
ENSG00000108691,P13500,CCL2_HUMAN,C-C motif chemokine 2 (HC11) (Monocyte chemoattractant protein 1) (Monocyte chemotactic and activating factor) (MCAF) (Monocyte chemotactic protein 1) (MCP-1) (Monocyte secretory protein JE) (Small-inducible cytokine A2),SCYA2,201
ENSG00000108784,P54802,ANAG_HUMAN,Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form],NAGLU,202
ENSG00000108784,P54802,ANAG_HUMAN,Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form],UFHSD1,203
ENSG00000108821,P02452,CO1A1_HUMAN,Collagen alpha-1(I) chain (Alpha-1 type I collagen),COL1A1,204
ENSG00000108823,Q16586,SGCA_HUMAN,Alpha-sarcoglycan (Alpha-SG) (50 kDa dystrophin-associated glycoprotein) (50DAG) (Adhalin) (Dystroglycan-2),SGCA,205
ENSG00000108823,Q16586,SGCA_HUMAN,Alpha-sarcoglycan (Alpha-SG) (50 kDa dystrophin-associated glycoprotein) (50DAG) (Adhalin) (Dystroglycan-2),ADL,206
ENSG00000108823,Q16586,SGCA_HUMAN,Alpha-sarcoglycan (Alpha-SG) (50 kDa dystrophin-associated glycoprotein) (50DAG) (Adhalin) (Dystroglycan-2),DAG2,207
ENSG00000108946,P10644,KAP0_HUMAN,cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1),PRKAR1A,208
ENSG00000108946,P10644,KAP0_HUMAN,cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1),PKR1,209
ENSG00000108946,P10644,KAP0_HUMAN,cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1),PRKAR1,210
ENSG00000108946,P10644,KAP0_HUMAN,cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1),TSE1,211
ENSG00000108961,Q9HD47,MOG1_HUMAN,Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1),RANGRF,212
ENSG00000108961,Q9HD47,MOG1_HUMAN,Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1),MOG1,213
ENSG00000108961,Q9HD47,MOG1_HUMAN,Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1),RANGNRF,214
ENSG00000108961,Q9HD47,MOG1_HUMAN,Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1),HSPC165,215
ENSG00000108961,Q9HD47,MOG1_HUMAN,Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1),HSPC236,216
ENSG00000108961,Q9HD47,MOG1_HUMAN,Ran guanine nucleotide release factor (RanGNRF) (Ran-binding protein MOG1),MDS5,217
ENSG00000109501,O76024,WFS1_HUMAN,Wolframin,WFS1,218
ENSG00000109819,Q9UBK2,PRGC1_HUMAN,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6),PPARGC1A,219
ENSG00000109819,Q9UBK2,PRGC1_HUMAN,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6),LEM6,220
ENSG00000109819,Q9UBK2,PRGC1_HUMAN,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6),PGC1,221
ENSG00000109819,Q9UBK2,PRGC1_HUMAN,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6),PGC1A,222
ENSG00000109819,Q9UBK2,PRGC1_HUMAN,Peroxisome proliferator-activated receptor gamma coactivator 1-alpha (PGC-1-alpha) (PPAR-gamma coactivator 1-alpha) (PPARGC-1-alpha) (Ligand effect modulator 6),PPARGC1,223
ENSG00000109846,P02511,CRYAB_HUMAN,Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component),CRYAB,224
ENSG00000109846,P02511,CRYAB_HUMAN,Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component),CRYA2,225
ENSG00000109846,P02511,CRYAB_HUMAN,Alpha-crystallin B chain (Alpha(B)-crystallin) (Heat shock protein beta-5) (HspB5) (Renal carcinoma antigen NY-REN-27) (Rosenthal fiber component),HSPB5,226
ENSG00000110090,P50416,CPT1A_HUMAN,"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)",CPT1A,227
ENSG00000110090,P50416,CPT1A_HUMAN,"Carnitine O-palmitoyltransferase 1, liver isoform (CPT1-L) (EC 2.3.1.21) (Carnitine O-palmitoyltransferase I, liver isoform) (CPT I) (CPTI-L) (Carnitine palmitoyltransferase 1A)",CPT1,228
ENSG00000110395,P22681,CBL_HUMAN,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),CBL,229
ENSG00000110395,P22681,CBL_HUMAN,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),CBL2,230
ENSG00000110395,P22681,CBL_HUMAN,E3 ubiquitin-protein ligase CBL (EC 2.3.2.27) (Casitas B-lineage lymphoma proto-oncogene) (Proto-oncogene c-Cbl) (RING finger protein 55) (RING-type E3 ubiquitin transferase CBL) (Signal transduction protein CBL),RNF55,231
ENSG00000110711,O00170,AIP_HUMAN,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),AIP,232
ENSG00000110711,O00170,AIP_HUMAN,AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9),XAP2,233
ENSG00000111640,P04406,G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),GAPDH,234
ENSG00000111640,P04406,G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),GAPD,235
ENSG00000111640,P04406,G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),CDABP0047,236
ENSG00000111640,P04406,G3P_HUMAN,Glyceraldehyde-3-phosphate dehydrogenase (GAPDH) (EC 1.2.1.12) (Peptidyl-cysteine S-nitrosylase GAPDH) (EC 2.6.99.-),OK/SW-cl.12,237
ENSG00000111669,P60174,TPIS_HUMAN,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase),TPI1,238
ENSG00000111669,P60174,TPIS_HUMAN,Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Triose-phosphate isomerase),TPI,239
ENSG00000111670,Q3T906,GNPTA_HUMAN,N-acetylglucosamine-1-phosphotransferase subunits alpha/beta (EC 2.7.8.17) (GlcNAc-1-phosphotransferase subunits alpha/beta) (Stealth protein GNPTAB) (UDP-N-acetylglucosamine-1-phosphotransferase subunits alpha/beta) [Cleaved into: N-acetylglucosamine-1-phosphotransferase subunit alpha; N-acetylglucosamine-1-phosphotransferase subunit beta],GNPTAB,240
ENSG00000111670,Q3T906,GNPTA_HUMAN,N-acetylglucosamine-1-phosphotransferase subunits alpha/beta (EC 2.7.8.17) (GlcNAc-1-phosphotransferase subunits alpha/beta) (Stealth protein GNPTAB) (UDP-N-acetylglucosamine-1-phosphotransferase subunits alpha/beta) [Cleaved into: N-acetylglucosamine-1-phosphotransferase subunit alpha; N-acetylglucosamine-1-phosphotransferase subunit beta],GNPTA,241
ENSG00000111670,Q3T906,GNPTA_HUMAN,N-acetylglucosamine-1-phosphotransferase subunits alpha/beta (EC 2.7.8.17) (GlcNAc-1-phosphotransferase subunits alpha/beta) (Stealth protein GNPTAB) (UDP-N-acetylglucosamine-1-phosphotransferase subunits alpha/beta) [Cleaved into: N-acetylglucosamine-1-phosphotransferase subunit alpha; N-acetylglucosamine-1-phosphotransferase subunit beta],KIAA1208,242
ENSG00000111846,Q8N0V5,GNT2A_HUMAN,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT)",GCNT2,243
ENSG00000111846,Q8N0V5,GNT2A_HUMAN,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT)",GCNT5,244
ENSG00000111846,Q8N0V5,GNT2A_HUMAN,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT)",II,245
ENSG00000111846,Q8N0V5,GNT2A_HUMAN,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT)",NACGT1,246
ENSG00000112319,O95677,EYA4_HUMAN,Eyes absent homolog 4 (EC 3.1.3.48),EYA4,247
ENSG00000112367,Q92562,FIG4_HUMAN,"Polyphosphoinositide phosphatase (EC 3.1.3.-) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase) (SAC domain-containing protein 3)",FIG4,248
ENSG00000112367,Q92562,FIG4_HUMAN,"Polyphosphoinositide phosphatase (EC 3.1.3.-) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase) (SAC domain-containing protein 3)",KIAA0274,249
ENSG00000112367,Q92562,FIG4_HUMAN,"Polyphosphoinositide phosphatase (EC 3.1.3.-) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase) (SAC domain-containing protein 3)",SAC3,250
ENSG00000112486,P51684,CCR6_HUMAN,C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196),CCR6,251
ENSG00000112486,P51684,CCR6_HUMAN,C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196),CKRL3,252
ENSG00000112486,P51684,CCR6_HUMAN,C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196),CMKBR6,253
ENSG00000112486,P51684,CCR6_HUMAN,C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196),GPR29,254
ENSG00000112486,P51684,CCR6_HUMAN,C-C chemokine receptor type 6 (C-C CKR-6) (CC-CKR-6) (CCR-6) (Chemokine receptor-like 3) (CKR-L3) (DRY6) (G-protein coupled receptor 29) (GPR-CY4) (GPRCY4) (LARC receptor) (CD antigen CD196),STRL22,255
ENSG00000112715,P15692,VEGFA_HUMAN,Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF),VEGFA,256
ENSG00000112715,P15692,VEGFA_HUMAN,Vascular endothelial growth factor A (VEGF-A) (Vascular permeability factor) (VPF),VEGF,257
ENSG00000112769,Q16363,LAMA4_HUMAN,Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha),LAMA4,258
ENSG00000113196,O96004,HAND1_HUMAN,"Heart- and neural crest derivatives-expressed protein 1 (Class A basic helix-loop-helix protein 27) (bHLHa27) (Extraembryonic tissues, heart, autonomic nervous system and neural crest derivatives-expressed protein 1) (eHAND)",HAND1,259
ENSG00000113196,O96004,HAND1_HUMAN,"Heart- and neural crest derivatives-expressed protein 1 (Class A basic helix-loop-helix protein 27) (bHLHa27) (Extraembryonic tissues, heart, autonomic nervous system and neural crest derivatives-expressed protein 1) (eHAND)",BHLHA27,260
ENSG00000113196,O96004,HAND1_HUMAN,"Heart- and neural crest derivatives-expressed protein 1 (Class A basic helix-loop-helix protein 27) (bHLHa27) (Extraembryonic tissues, heart, autonomic nervous system and neural crest derivatives-expressed protein 1) (eHAND)",EHAND,261
ENSG00000113273,P15848,ARSB_HUMAN,Arylsulfatase B (ASB) (EC 3.1.6.12) (N-acetylgalactosamine-4-sulfatase) (G4S),ARSB,262
ENSG00000113360,Q9NRR4,RNC_HUMAN,Ribonuclease 3 (EC 3.1.26.3) (Protein Drosha) (Ribonuclease III) (RNase III) (p241),DROSHA,263
ENSG00000113360,Q9NRR4,RNC_HUMAN,Ribonuclease 3 (EC 3.1.26.3) (Protein Drosha) (Ribonuclease III) (RNase III) (p241),RN3,264
ENSG00000113360,Q9NRR4,RNC_HUMAN,Ribonuclease 3 (EC 3.1.26.3) (Protein Drosha) (Ribonuclease III) (RNase III) (p241),RNASE3L,265
