name,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (GO),Gene ontology (molecular function),Gene ontology IDs
TRIM54,microtubule-based process [GO:0007017]; multicellular organism development [GO:0007275]; muscle cell development [GO:0055001]; negative regulation of microtubule depolymerization [GO:0007026]; signal transduction [GO:0007165],microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; Z disc [GO:0030018],microtubule [GO:0005874]; microtubule associated complex [GO:0005875]; Z disc [GO:0030018]; microtubule binding [GO:0008017]; zinc ion binding [GO:0008270]; microtubule-based process [GO:0007017]; multicellular organism development [GO:0007275]; muscle cell development [GO:0055001]; negative regulation of microtubule depolymerization [GO:0007026]; signal transduction [GO:0007165],microtubule binding [GO:0008017]; zinc ion binding [GO:0008270],GO:0005874; GO:0005875; GO:0007017; GO:0007026; GO:0007165; GO:0007275; GO:0008017; GO:0008270; GO:0030018; GO:0055001
TRIM55,signal transduction [GO:0007165],cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleus [GO:0005634],cytoplasm [GO:0005737]; microtubule [GO:0005874]; nucleus [GO:0005634]; identical protein binding [GO:0042802]; zinc ion binding [GO:0008270]; signal transduction [GO:0007165],identical protein binding [GO:0042802]; zinc ion binding [GO:0008270],GO:0005634; GO:0005737; GO:0005874; GO:0007165; GO:0008270; GO:0042802
SETD2,"angiogenesis [GO:0001525]; cell migration involved in vasculogenesis [GO:0035441]; coronary vasculature morphogenesis [GO:0060977]; defense response to virus [GO:0051607]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic placenta morphogenesis [GO:0060669]; endodermal cell differentiation [GO:0035987]; forebrain development [GO:0030900]; histone H3-K36 dimethylation [GO:0097676]; histone H3-K36 trimethylation [GO:0097198]; mesoderm morphogenesis [GO:0048332]; microtubule cytoskeleton organization involved in mitosis [GO:1902850]; mismatch repair [GO:0006298]; morphogenesis of a branching structure [GO:0001763]; neural tube closure [GO:0001843]; nucleosome organization [GO:0034728]; peptidyl-lysine monomethylation [GO:0018026]; peptidyl-lysine trimethylation [GO:0018023]; pericardium development [GO:0060039]; positive regulation of interferon-alpha production [GO:0032727]; regulation of cytokinesis [GO:0032465]; regulation of double-strand break repair via homologous recombination [GO:0010569]; regulation of mRNA export from nucleus [GO:0010793]; regulation of protein localization to chromatin [GO:1905634]; regulation of transcription, DNA-templated [GO:0006355]; response to type I interferon [GO:0034340]; stem cell development [GO:0048864]; stem cell differentiation [GO:0048863]; transcription elongation from RNA polymerase II promoter [GO:0006368]",chromosome [GO:0005694]; nucleoplasm [GO:0005654]; nucleus [GO:0005634],"chromosome [GO:0005694]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; alpha-tubulin binding [GO:0043014]; histone methyltransferase activity (H3-K36 specific) [GO:0046975]; histone-lysine N-methyltransferase activity [GO:0018024]; metal ion binding [GO:0046872]; protein-lysine N-methyltransferase activity [GO:0016279]; angiogenesis [GO:0001525]; cell migration involved in vasculogenesis [GO:0035441]; coronary vasculature morphogenesis [GO:0060977]; defense response to virus [GO:0051607]; embryonic cranial skeleton morphogenesis [GO:0048701]; embryonic placenta morphogenesis [GO:0060669]; endodermal cell differentiation [GO:0035987]; forebrain development [GO:0030900]; histone H3-K36 dimethylation [GO:0097676]; histone H3-K36 trimethylation [GO:0097198]; mesoderm morphogenesis [GO:0048332]; microtubule cytoskeleton organization involved in mitosis [GO:1902850]; mismatch repair [GO:0006298]; morphogenesis of a branching structure [GO:0001763]; neural tube closure [GO:0001843]; nucleosome organization [GO:0034728]; peptidyl-lysine monomethylation [GO:0018026]; peptidyl-lysine trimethylation [GO:0018023]; pericardium development [GO:0060039]; positive regulation of interferon-alpha production [GO:0032727]; regulation of cytokinesis [GO:0032465]; regulation of double-strand break repair via homologous recombination [GO:0010569]; regulation of mRNA export from nucleus [GO:0010793]; regulation of protein localization to chromatin [GO:1905634]; regulation of transcription, DNA-templated [GO:0006355]; response to type I interferon [GO:0034340]; stem cell development [GO:0048864]; stem cell differentiation [GO:0048863]; transcription elongation from RNA polymerase II promoter [GO:0006368]",alpha-tubulin binding [GO:0043014]; histone-lysine N-methyltransferase activity [GO:0018024]; histone methyltransferase activity (H3-K36 specific) [GO:0046975]; metal ion binding [GO:0046872]; protein-lysine N-methyltransferase activity [GO:0016279],GO:0001525; GO:0001763; GO:0001843; GO:0005634; GO:0005654; GO:0005694; GO:0006298; GO:0006355; GO:0006368; GO:0010569; GO:0010793; GO:0016279; GO:0018023; GO:0018024; GO:0018026; GO:0030900; GO:0032465; GO:0032727; GO:0034340; GO:0034728; GO:0035441; GO:0035987; GO:0043014; GO:0046872; GO:0046975; GO:0048332; GO:0048701; GO:0048863; GO:0048864; GO:0051607; GO:0060039; GO:0060669; GO:0060977; GO:0097198; GO:0097676; GO:1902850; GO:1905634
FKRP,protein O-linked mannosylation [GO:0035269]; protein processing [GO:0016485],cytosol [GO:0005829]; dystrophin-associated glycoprotein complex [GO:0016010]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; rough endoplasmic reticulum [GO:0005791]; sarcolemma [GO:0042383],cytosol [GO:0005829]; dystrophin-associated glycoprotein complex [GO:0016010]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; nucleus [GO:0005634]; rough endoplasmic reticulum [GO:0005791]; sarcolemma [GO:0042383]; transferase activity [GO:0016740]; protein O-linked mannosylation [GO:0035269]; protein processing [GO:0016485],transferase activity [GO:0016740],GO:0000139; GO:0005615; GO:0005634; GO:0005791; GO:0005794; GO:0005829; GO:0016010; GO:0016021; GO:0016485; GO:0016740; GO:0035269; GO:0042383
PRDM16,"brown fat cell differentiation [GO:0050873]; negative regulation of granulocyte differentiation [GO:0030853]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neurogenesis [GO:0022008]; positive regulation of brown fat cell differentiation [GO:0090336]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of cellular respiration [GO:0043457]; roof of mouth development [GO:0060021]; somatic stem cell population maintenance [GO:0035019]; tongue development [GO:0043586]; transcription, DNA-templated [GO:0006351]; white fat cell differentiation [GO:0050872]",aggresome [GO:0016235]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053],"aggresome [GO:0016235]; cytosol [GO:0005829]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; transcriptional repressor complex [GO:0017053]; activating transcription factor binding [GO:0033613]; histone-lysine N-methyltransferase activity [GO:0018024]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; SMAD binding [GO:0046332]; transcription coactivator activity [GO:0003713]; brown fat cell differentiation [GO:0050873]; negative regulation of granulocyte differentiation [GO:0030853]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]; negative regulation of transforming growth factor beta receptor signaling pathway [GO:0030512]; neurogenesis [GO:0022008]; positive regulation of brown fat cell differentiation [GO:0090336]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of cellular respiration [GO:0043457]; roof of mouth development [GO:0060021]; somatic stem cell population maintenance [GO:0035019]; tongue development [GO:0043586]; transcription, DNA-templated [GO:0006351]; white fat cell differentiation [GO:0050872]","activating transcription factor binding [GO:0033613]; histone-lysine N-methyltransferase activity [GO:0018024]; metal ion binding [GO:0046872]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; sequence-specific DNA binding [GO:0043565]; SMAD binding [GO:0046332]; transcription coactivator activity [GO:0003713]",GO:0000122; GO:0000981; GO:0003713; GO:0005634; GO:0005654; GO:0005829; GO:0006351; GO:0016235; GO:0017053; GO:0018024; GO:0022008; GO:0030512; GO:0030853; GO:0033613; GO:0035019; GO:0043457; GO:0043565; GO:0043586; GO:0045892; GO:0045893; GO:0046332; GO:0046872; GO:0050872; GO:0050873; GO:0060021; GO:0090336
LRRC4,cytokine-mediated signaling pathway [GO:0019221]; negative regulation of JAK-STAT cascade [GO:0046426]; negative regulation of protein kinase activity [GO:0006469]; postsynaptic density protein 95 clustering [GO:0097119]; regulation of synapse organization [GO:0050807],cell junction [GO:0030054]; cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; excitatory synapse [GO:0060076]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211],cell junction [GO:0030054]; cytoplasm [GO:0005737]; dendritic spine [GO:0043197]; excitatory synapse [GO:0060076]; integral component of membrane [GO:0016021]; postsynaptic membrane [GO:0045211]; protein kinase inhibitor activity [GO:0004860]; cytokine-mediated signaling pathway [GO:0019221]; negative regulation of JAK-STAT cascade [GO:0046426]; negative regulation of protein kinase activity [GO:0006469]; postsynaptic density protein 95 clustering [GO:0097119]; regulation of synapse organization [GO:0050807],protein kinase inhibitor activity [GO:0004860],GO:0004860; GO:0005737; GO:0006469; GO:0016021; GO:0019221; GO:0030054; GO:0043197; GO:0045211; GO:0046426; GO:0050807; GO:0060076; GO:0097119
RANGRF,ER to Golgi vesicle-mediated transport [GO:0006888]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein exit from endoplasmic reticulum [GO:0032527]; regulation of bundle of His cell action potential [GO:0098905]; regulation of cardiac muscle cell action potential involved in regulation of contraction [GO:0098909]; regulation of heart rate [GO:0002027]; regulation of membrane depolarization [GO:0003254]; regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900825]; regulation of membrane potential [GO:0042391]; regulation of microtubule nucleation by Ran protein signal transduction [GO:0090226]; regulation of sodium ion transmembrane transport [GO:1902305]; regulation of sodium ion transmembrane transporter activity [GO:2000649],caveola [GO:0005901]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intercalated disc [GO:0014704]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; rough endoplasmic reticulum [GO:0005791],caveola [GO:0005901]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; intercalated disc [GO:0014704]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; rough endoplasmic reticulum [GO:0005791]; guanyl-nucleotide exchange factor activity [GO:0005085]; ion channel binding [GO:0044325]; protein transporter activity [GO:0008565]; Ran GTPase binding [GO:0008536]; Ran guanyl-nucleotide exchange factor activity [GO:0005087]; sodium channel regulator activity [GO:0017080]; ER to Golgi vesicle-mediated transport [GO:0006888]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of protein localization to plasma membrane [GO:1903078]; protein exit from endoplasmic reticulum [GO:0032527]; regulation of bundle of His cell action potential [GO:0098905]; regulation of cardiac muscle cell action potential involved in regulation of contraction [GO:0098909]; regulation of heart rate [GO:0002027]; regulation of membrane depolarization [GO:0003254]; regulation of membrane depolarization during cardiac muscle cell action potential [GO:1900825]; regulation of membrane potential [GO:0042391]; regulation of microtubule nucleation by Ran protein signal transduction [GO:0090226]; regulation of sodium ion transmembrane transport [GO:1902305]; regulation of sodium ion transmembrane transporter activity [GO:2000649],guanyl-nucleotide exchange factor activity [GO:0005085]; ion channel binding [GO:0044325]; protein transporter activity [GO:0008565]; Ran GTPase binding [GO:0008536]; Ran guanyl-nucleotide exchange factor activity [GO:0005087]; sodium channel regulator activity [GO:0017080],GO:0002027; GO:0003254; GO:0005085; GO:0005087; GO:0005634; GO:0005654; GO:0005737; GO:0005791; GO:0005829; GO:0005886; GO:0005901; GO:0006888; GO:0008536; GO:0008565; GO:0014704; GO:0017080; GO:0032527; GO:0042391; GO:0044325; GO:0048471; GO:0090226; GO:0098905; GO:0098909; GO:1900825; GO:1902305; GO:1903078; GO:2000010; GO:2000649
DROSHA,defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; miRNA metabolic process [GO:0010586]; positive regulation of gene expression [GO:0010628]; pre-miRNA processing [GO:0031054]; primary miRNA processing [GO:0031053]; production of siRNA involved in RNA interference [GO:0030422]; regulation of inflammatory response [GO:0050727]; regulation of miRNA metabolic process [GO:2000628]; regulation of regulatory T cell differentiation [GO:0045589]; ribosome biogenesis [GO:0042254]; rRNA catabolic process [GO:0016075],microprocessor complex [GO:0070877]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; postsynaptic density [GO:0014069],microprocessor complex [GO:0070877]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; postsynaptic density [GO:0014069]; DEAD/H-box RNA helicase binding [GO:0017151]; double-stranded RNA binding [GO:0003725]; lipopolysaccharide binding [GO:0001530]; metal ion binding [GO:0046872]; primary miRNA binding [GO:0070878]; protein homodimerization activity [GO:0042803]; R-SMAD binding [GO:0070412]; ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]; SMAD binding [GO:0046332]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; miRNA metabolic process [GO:0010586]; positive regulation of gene expression [GO:0010628]; pre-miRNA processing [GO:0031054]; primary miRNA processing [GO:0031053]; production of siRNA involved in RNA interference [GO:0030422]; regulation of inflammatory response [GO:0050727]; regulation of miRNA metabolic process [GO:2000628]; regulation of regulatory T cell differentiation [GO:0045589]; ribosome biogenesis [GO:0042254]; rRNA catabolic process [GO:0016075],DEAD/H-box RNA helicase binding [GO:0017151]; double-stranded RNA binding [GO:0003725]; lipopolysaccharide binding [GO:0001530]; metal ion binding [GO:0046872]; primary miRNA binding [GO:0070878]; protein homodimerization activity [GO:0042803]; ribonuclease III activity [GO:0004525]; RNA binding [GO:0003723]; R-SMAD binding [GO:0070412]; SMAD binding [GO:0046332],GO:0001530; GO:0003723; GO:0003725; GO:0004525; GO:0005654; GO:0005730; GO:0010586; GO:0010628; GO:0014069; GO:0016075; GO:0017151; GO:0030422; GO:0031053; GO:0031054; GO:0042254; GO:0042803; GO:0045589; GO:0046332; GO:0046872; GO:0050727; GO:0050829; GO:0050830; GO:0070412; GO:0070877; GO:0070878; GO:2000628
FGF21,cell-cell signaling [GO:0007267]; cellular response to drug [GO:0035690]; cellular response to glucagon stimulus [GO:0071377]; cellular response to glucose stimulus [GO:0071333]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; endoplasmic reticulum unfolded protein response [GO:0030968]; endothelial cell apoptotic process [GO:0072577]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of neuron death [GO:1901215]; positive regulation of cell proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glucose import [GO:0046326]; positive regulation of low-density lipoprotein particle receptor biosynthetic process [GO:0045716]; positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway [GO:0090080]; positive regulation of triglyceride catabolic process [GO:0010898]; regulation of low-density lipoprotein particle clearance [GO:0010988]; response to activity [GO:0014823]; response to methionine [GO:1904640]; response to nutrient levels [GO:0031667]; signal transduction [GO:0007165],cell [GO:0005623]; extracellular region [GO:0005576]; extracellular space [GO:0005615],cell [GO:0005623]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; cell-cell signaling [GO:0007267]; cellular response to drug [GO:0035690]; cellular response to glucagon stimulus [GO:0071377]; cellular response to glucose stimulus [GO:0071333]; cellular response to low-density lipoprotein particle stimulus [GO:0071404]; endoplasmic reticulum unfolded protein response [GO:0030968]; endothelial cell apoptotic process [GO:0072577]; negative regulation of endothelial cell apoptotic process [GO:2000352]; negative regulation of neuron death [GO:1901215]; positive regulation of cell proliferation [GO:0008284]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of glucose import [GO:0046326]; positive regulation of low-density lipoprotein particle receptor biosynthetic process [GO:0045716]; positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway [GO:0090080]; positive regulation of triglyceride catabolic process [GO:0010898]; regulation of low-density lipoprotein particle clearance [GO:0010988]; response to activity [GO:0014823]; response to methionine [GO:1904640]; response to nutrient levels [GO:0031667]; signal transduction [GO:0007165],fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083],GO:0005104; GO:0005576; GO:0005615; GO:0005623; GO:0007165; GO:0007267; GO:0008083; GO:0008284; GO:0010898; GO:0010988; GO:0014823; GO:0030968; GO:0031667; GO:0035690; GO:0045716; GO:0046326; GO:0070374; GO:0071333; GO:0071377; GO:0071404; GO:0072577; GO:0090080; GO:1901215; GO:1904640; GO:2000352
PPARGC1A,"adaptive thermogenesis [GO:1990845]; adipose tissue development [GO:0060612]; aging [GO:0007568]; androgen metabolic process [GO:0008209]; androgen receptor signaling pathway [GO:0030521]; autophagy of mitochondrion [GO:0000422]; brown fat cell differentiation [GO:0050873]; cellular glucose homeostasis [GO:0001678]; cellular respiration [GO:0045333]; cellular response to caffeine [GO:0071313]; cellular response to estradiol stimulus [GO:0071392]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to fructose stimulus [GO:0071332]; cellular response to glucose stimulus [GO:0071333]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-6 [GO:0071354]; cellular response to ionomycin [GO:1904637]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to nitrite [GO:0071250]; cellular response to oxidative stress [GO:0034599]; cellular response to potassium ion [GO:0035865]; cellular response to resveratrol [GO:1904639]; cellular response to thyroid hormone stimulus [GO:0097067]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; cerebellum development [GO:0021549]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; digestion [GO:0007586]; energy homeostasis [GO:0097009]; fatty acid oxidation [GO:0019395]; flavone metabolic process [GO:0051552]; forebrain development [GO:0030900]; galactose metabolic process [GO:0006012]; gluconeogenesis [GO:0006094]; mitochondrion organization [GO:0007005]; mRNA processing [GO:0006397]; negative regulation of glycolytic process [GO:0045820]; negative regulation of mitochondrial fission [GO:0090258]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of neuron death [GO:1901215]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of signaling receptor activity [GO:2000272]; negative regulation of smooth muscle cell migration [GO:0014912]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of cellular respiration [GO:1901857]; positive regulation of DNA binding transcription factor activity [GO:0051091]; positive regulation of fatty acid oxidation [GO:0046321]; positive regulation of glomerular visceral epithelial cell apoptotic process [GO:1904635]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of histone acetylation [GO:0035066]; positive regulation of mitochondrial DNA metabolic process [GO:1901860]; positive regulation of mitochondrion organization [GO:0010822]; positive regulation of muscle tissue development [GO:1901863]; positive regulation of progesterone biosynthetic process [GO:2000184]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of transcription, DNA-templated [GO:0045893]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein-containing complex assembly [GO:0065003]; protein stabilization [GO:0050821]; regulation of circadian rhythm [GO:0042752]; regulation of NMDA receptor activity [GO:2000310]; regulation of transcription, DNA-templated [GO:0006355]; respiratory electron transport chain [GO:0022904]; response to cold [GO:0009409]; response to dietary excess [GO:0002021]; response to electrical stimulus involved in regulation of muscle adaptation [GO:0014878]; response to epinephrine [GO:0071871]; response to ischemia [GO:0002931]; response to leucine [GO:0043201]; response to metformin [GO:1901558]; response to methionine [GO:1904640]; response to muscle activity [GO:0014850]; response to norepinephrine [GO:0071873]; response to reactive oxygen species [GO:0000302]; response to starvation [GO:0042594]; RNA splicing [GO:0008380]; skeletal muscle atrophy [GO:0014732]; temperature homeostasis [GO:0001659]; transcription initiation from RNA polymerase II promoter [GO:0006367]","apical dendrite [GO:0097440]; cytosolic ribosome [GO:0022626]; DNA-directed RNA polymerase II, core complex [GO:0005665]; interfibrillar mitochondrion [GO:1990844]; intracellular membrane-bounded organelle [GO:0043231]; neuronal cell body [GO:0043025]; nuclear euchromatin [GO:0005719]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; subsarcolemmal mitochondrion [GO:1990843]","apical dendrite [GO:0097440]; cytosolic ribosome [GO:0022626]; DNA-directed RNA polymerase II, core complex [GO:0005665]; interfibrillar mitochondrion [GO:1990844]; intracellular membrane-bounded organelle [GO:0043231]; neuronal cell body [GO:0043025]; nuclear euchromatin [GO:0005719]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PML body [GO:0016605]; subsarcolemmal mitochondrion [GO:1990843]; alpha-tubulin binding [GO:0043014]; androgen receptor binding [GO:0050681]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; estrogen receptor binding [GO:0030331]; ligand-dependent nuclear receptor binding [GO:0016922]; ligand-dependent nuclear receptor transcription coactivator activity [GO:0030374]; peroxisome proliferator activated receptor binding [GO:0042975]; promoter-specific chromatin binding [GO:1990841]; RNA binding [GO:0003723]; RNA polymerase II transcription cofactor activity [GO:0001104]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625]; adaptive thermogenesis [GO:1990845]; adipose tissue development [GO:0060612]; aging [GO:0007568]; androgen metabolic process [GO:0008209]; androgen receptor signaling pathway [GO:0030521]; autophagy of mitochondrion [GO:0000422]; brown fat cell differentiation [GO:0050873]; cellular glucose homeostasis [GO:0001678]; cellular respiration [GO:0045333]; cellular response to caffeine [GO:0071313]; cellular response to estradiol stimulus [GO:0071392]; cellular response to follicle-stimulating hormone stimulus [GO:0071372]; cellular response to fructose stimulus [GO:0071332]; cellular response to glucose stimulus [GO:0071333]; cellular response to hypoxia [GO:0071456]; cellular response to interleukin-6 [GO:0071354]; cellular response to ionomycin [GO:1904637]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to nitrite [GO:0071250]; cellular response to oxidative stress [GO:0034599]; cellular response to potassium ion [GO:0035865]; cellular response to resveratrol [GO:1904639]; cellular response to thyroid hormone stimulus [GO:0097067]; cellular response to transforming growth factor beta stimulus [GO:0071560]; cellular response to tumor necrosis factor [GO:0071356]; cerebellum development [GO:0021549]; circadian regulation of gene expression [GO:0032922]; circadian rhythm [GO:0007623]; digestion [GO:0007586]; energy homeostasis [GO:0097009]; fatty acid oxidation [GO:0019395]; flavone metabolic process [GO:0051552]; forebrain development [GO:0030900]; galactose metabolic process [GO:0006012]; gluconeogenesis [GO:0006094]; mitochondrion organization [GO:0007005]; mRNA processing [GO:0006397]; negative regulation of glycolytic process [GO:0045820]; negative regulation of mitochondrial fission [GO:0090258]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of neuron death [GO:1901215]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of signaling receptor activity [GO:2000272]; negative regulation of smooth muscle cell migration [GO:0014912]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of ATP biosynthetic process [GO:2001171]; positive regulation of cellular respiration [GO:1901857]; positive regulation of DNA binding transcription factor activity [GO:0051091]; positive regulation of fatty acid oxidation [GO:0046321]; positive regulation of glomerular visceral epithelial cell apoptotic process [GO:1904635]; positive regulation of gluconeogenesis [GO:0045722]; positive regulation of histone acetylation [GO:0035066]; positive regulation of mitochondrial DNA metabolic process [GO:1901860]; positive regulation of mitochondrion organization [GO:0010822]; positive regulation of muscle tissue development [GO:1901863]; positive regulation of progesterone biosynthetic process [GO:2000184]; positive regulation of smooth muscle cell proliferation [GO:0048661]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; protein stabilization [GO:0050821]; protein-containing complex assembly [GO:0065003]; regulation of circadian rhythm [GO:0042752]; regulation of NMDA receptor activity [GO:2000310]; regulation of transcription, DNA-templated [GO:0006355]; respiratory electron transport chain [GO:0022904]; response to cold [GO:0009409]; response to dietary excess [GO:0002021]; response to electrical stimulus involved in regulation of muscle adaptation [GO:0014878]; response to epinephrine [GO:0071871]; response to ischemia [GO:0002931]; response to leucine [GO:0043201]; response to metformin [GO:1901558]; response to methionine [GO:1904640]; response to muscle activity [GO:0014850]; response to norepinephrine [GO:0071873]; response to reactive oxygen species [GO:0000302]; response to starvation [GO:0042594]; RNA splicing [GO:0008380]; skeletal muscle atrophy [GO:0014732]; temperature homeostasis [GO:0001659]; transcription initiation from RNA polymerase II promoter [GO:0006367]",alpha-tubulin binding [GO:0043014]; androgen receptor binding [GO:0050681]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; estrogen receptor binding [GO:0030331]; ligand-dependent nuclear receptor binding [GO:0016922]; ligand-dependent nuclear receptor transcription coactivator activity [GO:0030374]; peroxisome proliferator activated receptor binding [GO:0042975]; promoter-specific chromatin binding [GO:1990841]; RNA binding [GO:0003723]; RNA polymerase II transcription cofactor activity [GO:0001104]; sequence-specific DNA binding [GO:0043565]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]; ubiquitin protein ligase binding [GO:0031625],GO:0000302; GO:0000422; GO:0001104; GO:0001659; GO:0001678; GO:0001933; GO:0002021; GO:0002931; GO:0003677; GO:0003713; GO:0003723; GO:0005634; GO:0005654; GO:0005665; GO:0005719; GO:0006012; GO:0006094; GO:0006355; GO:0006367; GO:0006397; GO:0007005; GO:0007568; GO:0007586; GO:0007623; GO:0008134; GO:0008209; GO:0008380; GO:0009409; GO:0010822; GO:0014732; GO:0014850; GO:0014878; GO:0014912; GO:0016605; GO:0016922; GO:0019395; GO:0021549; GO:0022626; GO:0022904; GO:0030331; GO:0030374; GO:0030521; GO:0030900; GO:0031490; GO:0031625; GO:0032922; GO:0034599; GO:0035066; GO:0035865; GO:0042594; GO:0042752; GO:0042975; GO:0043014; GO:0043025; GO:0043201; GO:0043231; GO:0043524; GO:0043565; GO:0045333; GO:0045722; GO:0045820; GO:0045893; GO:0045944; GO:0046321; GO:0048661; GO:0048662; GO:0050681; GO:0050821; GO:0050873; GO:0051091; GO:0051552; GO:0060612; GO:0065003; GO:0071222; GO:0071250; GO:0071313; GO:0071332; GO:0071333; GO:0071354; GO:0071356; GO:0071372; GO:0071392; GO:0071456; GO:0071560; GO:0071871; GO:0071873; GO:0090258; GO:0097009; GO:0097067; GO:0097440; GO:1901215; GO:1901558; GO:1901857; GO:1901860; GO:1901863; GO:1904635; GO:1904637; GO:1904639; GO:1904640; GO:1990841; GO:1990843; GO:1990844; GO:1990845; GO:2000184; GO:2000272; GO:2000310; GO:2001171
